Date,MSCI ACWI
04/2013,63098.56308139534
05/2013,63298.11783792097
06/2013,61125.978990825686
07/2013,63130.63918644068
08/2013,62028.78936154138
09/2013,63952.03232876713
10/2013,65873.34180778536
11/2013,66981.41234295792
12/2013,67270.44772677834
01/2014,65908.8402189997
02/2014,67639.39972489684
03/2014,68099.40809399477
04/2014,68475.77337184115
05/2014,71241.54571911515
06/2014,72342.6530238688
07/2014,72977.89456611108
08/2014,75700.62638762512
09/2014,76798.10449018517
10/2014,77720.7588789524
11/2014,79313.70684931507
12/2014,80008.27887323944
01/2015,84600.69277310924
02/2015,89865.91601423487
03/2015,92484.87398457105
04/2015,91342.36023183235
05/2015,93333.11250683683
06/2015,89392.61043882383
07/2015,92027.36017142337
08/2015,83859.74482389656
09/2015,80945.38912791215
10/2015,88794.04950530999
11/2015,91747.89936666981
12/2015,87582.02198952879
01/2016,82071.73500000002
02/2016,81792.51331741367
03/2016,84072.7981027668
04/2016,85228.67940015784
05/2016,87314.9824098978
06/2016,87239.08324626193
07/2016,90934.9256366418
08/2016,91129.261013295
09/2016,91488.95287160648
10/2016,91724.96864608076
11/2016,95171.04930888576
12/2016,98132.06411156437
01/2017,98829.91665271966
02/2017,103161.9230725677
03/2017,103574.01382471238
04/2017,102934.9065507777
05/2017,102568.21999821761
06/2017,101351.97570977919
07/2017,101421.80460475825
08/2017,101015.83864693446
09/2017,103170.93664238522
10/2017,106857.69135590308
11/2017,107034.53553886405
12/2017,107489.88993579589
01/2018,109345.9191137513
02/2018,106880.92213852955
03/2018,103748.11351351351
04/2018,106897.01948836824
05/2018,110602.1685614155
06/2018,110434.3170355121
07/2018,113044.23297546012
08/2018,114814.6044116385
09/2018,116108.75774015204
10/2018,109882.17959003357
11/2018,111138.74853420196
12/2018,102534.3121048035
01/2019,110295.89012883008
02/2019,114010.58913805186
03/2019,117376.29644859812
04/2019,121585.67361383491
05/2019,115162.40742534303
06/2019,120286.7223374341
07/2019,123158.90476190476
08/2019,121547.08200434943
09/2019,125836.58681237948
10/2019,126240.72393760087
11/2019,131402.72179930794
12/2019,133032.13053231264
01/2020,133763.153257329
02/2020,123851.38524186939
03/2020,107411.50859802848
04/2020,119847.43482898126
05/2020,122210.75479525862
06/2020,125470.32002143243
07/2020,124906.0234132343
08/2020,131576.3767839196
09/2020,129906.79837717801
10/2020,126888.96395965123
11/2020,139220.51213689483
12/2020,142279.59194849644
01/2021,143242.73780487804
02/2021,146784.8340400957
03/2021,155875.91119829423
04/2021,157946.46972355573
05/2021,158924.11762970246
06/2021,165367.14431167959
07/2021,166456.44759902445
08/2021,171496.6658441778
09/2021,168108.0457552466
10/2021,175730.3196221554
11/2021,175809.6402358532
12/2021,183495.84840190713
01/2022,177177.55127285767
02/2022,171991.69006161264
03/2022,177370.5286730925
04/2022,171928.36127134727
05/2022,169470.1685242229
06/2022,160127.00772118996
07/2022,174541.5679545009
08/2022,171513.96102
09/2022,159178.31109971277
10/2022,165998.16893282227
11/2022,170981.809001542
12/2022,159853.73710856933
01/2023,168710.18798116868
02/2023,167237.88083623693
03/2023,168449.46620689658
