Date,iShares Core MSCI EMU UCITS ETF EUR (Acc)
07/1998,53792.86296699978
08/1998,45850.9432752385
09/1998,42046.898295332525
10/1998,43672.45270417944
11/1998,47622.7450460494
12/1998,49995.10428330309
01/1999,51297.29195321899
02/1999,50448.62062697909
03/1999,51873.11897921166
04/1999,54011.89232372615
05/1999,52273.21681069437
06/1999,54355.77694653141
07/1999,52323.318895870005
08/1999,54059.27351423768
09/1999,53321.04295931322
10/1999,56653.16558768975
11/1999,60774.60042418098
12/1999,69404.26184965787
01/2000,66866.19651946556
02/2000,73523.97559467574
03/2000,74549.28143722893
04/2000,74543.07180074237
05/2000,72646.64117967023
06/2000,72735.45994708555
07/2000,72950.04864294143
08/2000,73860.22161761453
09/2000,71299.76927309592
10/2000,73309.20960991111
11/2000,68500.35190303496
12/2000,68312.5526034894
01/2001,68772.8235668004
02/2001,62290.81143566123
03/2001,60278.0944899521
04/2001,64823.87611938748
05/2001,63437.27596983157
06/2001,60962.98211749303
07/2001,59311.27221474694
08/2001,54566.51961001283
09/2001,47819.74493422135
10/2001,50422.89737768706
11/2001,53779.76945470659
12/2001,55822.16354848317
01/2002,53768.94174237069
02/2002,53393.42341892361
03/2002,56049.57480406282
04/2002,53404.398943805296
05/2002,51081.25554863384
06/2002,46666.30545239546
07/2002,40835.2678749376
08/2002,40970.71277660854
09/2002,33952.096496563885
10/2002,38317.19665411731
11/2002,40570.083792339465
12/2002,36574.31810816501
01/2003,34297.09579660284
02/2003,32972.79953940313
03/2003,31618.34301967209
04/2003,35969.26849452421
05/2003,36210.73524815253
06/2003,37967.92401107606
07/2003,39288.33743852507
08/2003,40695.32363323798
09/2003,38261.52509739764
10/2003,41207.53030746805
11/2003,42002.6004406805
12/2003,43422.085583649874
01/2004,45045.57910050977
02/2004,45776.03796489128
03/2004,44671.733850644814
04/2004,45077.430619115854
05/2004,44743.56253015384
06/2004,45967.72504573518
07/2004,44617.06811731156
08/2004,44230.71503825623
09/2004,45101.4334693077
10/2004,46213.15373823654
11/2004,47577.95999315316
12/2004,48825.763644670726
01/2005,49905.66282701469
02/2005,51372.73264649887
03/2005,51257.367381497
04/2005,49239.62219284965
05/2005,52303.63387572293
06/2005,54214.51433981417
07/2005,56788.62114893196
08/2005,56475.96251816322
09/2005,58732.77119301453
10/2005,56512.315925995375
11/2005,59062.0140312764
12/2005,61264.42623476959
01/2006,63899.97690681017
02/2006,65826.87435488398
03/2006,67408.88374571146
04/2006,67829.36034039558
05/2006,64150.567095889855
06/2006,64970.75138938778
